Stop Code,Stop Name,Latitude,Longitude,Current Cleaning Category,abc_stop_name
6390,Main St at Broad St (WB),36.005842,-78.919316,B,Main St at Broad St (WB)
6393,Holloway St at Hyde Park Ave (WB),35.994507,-78.881001,A,Holloway St at Hyde Park Ave (WB)
6395,Briggs Ave at Person St (SB 1),35.969367,-78.8773,C,Briggs Ave at Person St (SB 1)
6396,Briggs Ave at Person St (UniFirst Uniforms),35.962986,-78.877357,C,Briggs Ave at Person St (UniFirst Unifo
6398,Capps St at S Alston Ave (WB),35.962358,-78.887144,A,Capps St at S Alston Ave (WB)
6399,Capps St at Bacon St (WB),35.96525,-78.883684,C,Capps St at Bacon St (WB)
6424,W Club Blvd at Onslow St (Walltown Park),36.017045,-78.914519,C,W Club Blvd at Onslow St (Walltown Park
6426,Broad St at Guess Rd (NB),36.023967,-78.917948,C,Broad St at Guess Rd (NB)
6430,W Club Blvd at Onslow St (EB),36.016904,-78.914418,B,W Club Blvd at Onslow St (EB)
6433,Hardee St at Benning St (Naples Terrace),36.00333,-78.86698,C,Hardee St at Benning St (Naples Terrace
6435,Holloway St at Alma St,35.994379,-78.87607,A,Holloway St at Alma St
6439,Fayetteville St at Umstead St,35.982668,-78.898808,B,Fayetteville St at Umsted St
6442,Lakewood Ave at Roxboro St (Southside Lofts),35.987456,-78.901112,B,Lakewood Ave at Roxboro St (Southside L
6444,Cornwallis Rd at Campus Crossings (SB),35.944374,-78.900797,C,Cornwallis Rd at Campus Crossings (SB)
6446,S Alston Ave at Capitola Dr (SB),35.891477,-78.886676,B,S Alston Ave at Capitola Dr (SB)
6448,Cornwallis Rd at Campus Crossings (NB),35.94424,-78.900473,C,Cornwallis Rd at Campus Crossings (NB)
6463,Milton Rd at Durham County Library,36.087335,-78.913132,C,Milton Rd at Durham County Library
6464,Roxboro Rd at Latta Rd,36.078482,-78.910402,C,Roxboro Rd at Latta Rd
6466,New Castle Rd at Stadium Dr (Strawberry Hill Apts),36.050228,-78.920985,C,New Castle Rd at Stadium Dr (Strawberry
6472,Herndon Rd at Fayetteville Rd,35.905677,-78.93684,C,Herndon Rd at Fayetteville Rd
6473,Chapel Hill Rd at Yates Baptist Church (NB),35.9730045,-78.9371216,C,Chapel Hill Rd at Valley Terrace (NB)
6474,Fayetteville Rd at Torrey Pine Ln,35.917921,-78.930635,C,Fayetteville Rd at Torrey Pine Ln
6476,Fayetteville Rd at Timothy Ave (WG Pearson Elementary),35.957075,-78.90865,B,Fayetteville Rd at Timothy Ave (WG Pear
6479,Holloway St at Ganyard Farm Way (Dollar General),35.98427,-78.83381,C,Holloway St at Ganyard Farm Way (Dollar
6484,Broad St at Forest Rd (SB),36.024962,-78.917114,B,Broad St at Forest Rd (SB)
